Fahrenheit	    Celsius
    -50.00     -45.56
    -45.00     -42.78
    -40.00     -40.00
    -35.00     -37.22
    -30.00     -34.44
    -25.00     -31.67
    -20.00     -28.89
    -15.00     -26.11
    -10.00     -23.33
     -5.00     -20.56
      0.00     -17.78
      5.00     -15.00
     10.00     -12.22
     15.00      -9.44
     20.00      -6.67
     25.00      -3.89
     30.00      -1.11
     35.00       1.67
     40.00       4.44
     45.00       7.22
     50.00      10.00
     55.00      12.78
     60.00      15.56
     65.00      18.33
     70.00      21.11
     75.00      23.89
     80.00      26.67
     85.00      29.44
     90.00      32.22
     95.00      35.00
    100.00      37.78
    105.00      40.56
    110.00      43.33
    115.00      46.11
    120.00      48.89
    125.00      51.67
    130.00      54.44
    135.00      57.22
    140.00      60.00
    145.00      62.78
    150.00      65.56
